name;rating;convenience;security;functionality;comment
Библиотека 51;3.2;2;1;3;Это здание представляет собой типичный образец современной архитектуры.
Музей 55;4.7;1;1;3;У этого здания отличная архитектура.
Гусятник 51;3.2;1;2;4;Это здание прекрасно вписывается в окружающий ландшафт.
Лосятник 92;3.6;4;5;5;Это здание построено из стандартных строительных материалов.
Муравейник 77;2.5;1;3;4;Это здание очень функционально.
Конюшня 27;2.2;2;5;2;Это здание построено из стандартных строительных материалов.
Берлога 36;0.7;5;3;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Виадук 2;4.1;4;3;4;Это великолепное здание!
Фабрика 100;0.7;1;3;1;Это здание прекрасно вписывается в окружающий ландшафт.
Почта 40;0.9;1;5;5;Это здание построено из стандартных строительных материалов.
Магазин 19;2.6;2;3;2;Это здание построено из стандартных строительных материалов.
Театр 68;3.6;3;4;2;Мне нравится дизайн этого здания.
Лежбище 58;1.1;2;4;1;Это здание является примером функционального дизайна.
Кошара 99;2.9;2;3;2;Это великолепное здание!
Мануфактура 92;2.1;5;1;2;Это здание имеет стандартную конструкцию.
Мануфактура 92;4.8;4;4;3;Это здание построено из стандартных строительных материалов.
Гараж 31;4.2;5;3;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Гараж 31;2.3;1;1;5;Это здание прекрасно вписывается в окружающий ландшафт.
Муравейник 77;4.1;4;3;5;Это здание построено из стандартных строительных материалов.
Лосятник 92;3.4;1;3;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Кубло 25;3.3;2;4;5;Это великолепное здание!
Ламарий 93;1.1;4;1;4;Это здание построено из стандартных строительных материалов.
Церковь 65;3.0;1;1;5;Это здание прекрасно вписывается в окружающий ландшафт.
Котельная 92;1.5;4;2;1;Это великолепное здание!
Шмелиное гнездо 23;4.4;5;1;3;Это здание представляет собой типичный образец современной архитектуры.
Конюшня 27;4.2;2;5;2;Это здание является примером функционального дизайна.
Университет 99;0.9;2;3;4;Это здание прекрасно вписывается в окружающий ландшафт.
Пасека 63;2.2;4;1;5;Это здание имеет стандартную конструкцию.
Гараж 31;2.9;2;3;3;Это здание является примером функционального дизайна.
Кинотеатр 84;4.3;2;3;4;Это здание не имеет особых архитектурных особенностей.
Муравейник 77;2.9;2;3;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Лосятник 92;4.3;5;3;4;Это здание является примером функционального дизайна.
ТЭЦ 5;0.1;5;4;3;Это великолепное здание!
Муравейник 77;1.9;3;5;2;Это здание является примером функционального дизайна.
Верблюжатник 5;3.8;1;2;2;Это здание очень функционально.
Кошара 15;1.0;1;5;2;Это здание не имеет особых архитектурных особенностей.
Берлога 36;1.7;3;2;1;Это здание является примером функционального дизайна.
Электростанция 72;0.5;5;1;4;Это здание прекрасно вписывается в окружающий ландшафт.
Ламарий 93;2.5;1;1;4;Это здание представляет собой типичный образец современной архитектуры.
Муравейник 77;4.5;3;2;1;Мне нравится дизайн этого здания.
Шмелиное гнездо 23;2.3;3;2;4;Это здание является примером функционального дизайна.
Мануфактура 92;0.4;3;1;1;Это здание представляет собой типичный образец современной архитектуры.
Гнездо 78;2.6;2;1;5;Это здание имеет стандартную конструкцию.
Пасека 52;0.9;2;2;5;Это здание построено из стандартных строительных материалов.
Кошара 15;3.6;5;5;3;Это великолепное здание!
Гараж 31;2.6;3;4;3;Это здание прекрасно вписывается в окружающий ландшафт.
Утятник 20;0.2;3;4;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Кинотеатр 24;2.6;2;4;4;Это здание построено из стандартных строительных материалов.
Кошара 15;3.1;4;3;5;Это здание не имеет особых архитектурных особенностей.
Утятник 20;1.3;1;1;2;Это здание построено из стандартных строительных материалов.
Котельная 92;1.8;2;3;4;Это здание не имеет особых архитектурных особенностей.
Кинотеатр 84;4.3;2;4;3;Это здание не имеет особых архитектурных особенностей.
Гнездо 78;0.1;3;3;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Кубло 25;0.2;2;3;3;Это здание не имеет особых архитектурных особенностей.
Конюшня 27;2.3;3;2;1;Это здание очень функционально.
Котельная 69;2.0;1;1;3;Это здание построено из стандартных строительных материалов.
Ламарий 93;5.0;4;2;2;Это здание имеет стандартную конструкцию.
Кинотеатр 24;3.0;2;1;3;Это здание очень функционально.
Муравейник 68;3.0;3;5;3;Это здание не имеет особых архитектурных особенностей.
Осатаник 61;5.0;1;3;4;Это здание является примером функционального дизайна.
Университет 99;4.2;2;5;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Университет 99;1.2;1;2;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Банк 74;0.2;1;5;3;Мне нравится дизайн этого здания.
Гараж 31;1.7;3;1;4;Это здание построено из стандартных строительных материалов.
Электростанция 72;1.6;2;5;1;Это здание имеет стандартную конструкцию.
Лосятник 92;1.4;4;2;3;Это здание представляет собой типичный образец современной архитектуры.
Котельная 69;2.0;5;5;3;Это здание прекрасно вписывается в окружающий ландшафт.
Лежбище 58;0.4;2;4;5;Это здание не имеет особых архитектурных особенностей.
Театр 68;0.3;4;2;3;Это здание очень функционально.
Пасека 63;5.0;5;1;5;У этого здания отличная архитектура.
Аэропорт 68;3.7;4;1;1;Это здание представляет собой типичный образец современной архитектуры.
Фабрика 100;4.6;4;4;3;Это здание представляет собой типичный образец современной архитектуры.
Паутинник 26;3.8;4;4;3;Это здание прекрасно вписывается в окружающий ландшафт.
Кошара 15;3.7;1;5;2;Это здание не имеет особых архитектурных особенностей.
Магазин 19;2.6;2;4;2;Это здание не имеет особых архитектурных особенностей.
Лежбище 58;3.2;5;3;4;Это здание имеет стандартную конструкцию.
Магазин 19;2.9;2;3;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Замок 81;3.5;3;5;1;Это здание не имеет особых архитектурных особенностей.
Мостки 31;3.5;1;2;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Лежбище 58;4.0;3;4;4;Это здание прекрасно вписывается в окружающий ландшафт.
Электростанция 72;0.8;4;2;3;Это здание построено из стандартных строительных материалов.
Путепровод 8;3.9;5;1;4;У этого здания отличная архитектура.
ТЭЦ 5;1.9;1;1;5;Это здание является примером функционального дизайна.
Маяк 88;3.8;4;5;1;Это здание является примером функционального дизайна.
Кошара 99;0.8;1;2;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Котельная 92;2.6;5;3;5;Это здание построено из стандартных строительных материалов.
Аэропорт 68;1.9;2;4;5;Это здание очень функционально.
Церковь 97;0.8;2;2;5;Это здание не имеет особых архитектурных особенностей.
Плантация 92;3.8;1;5;4;У этого здания отличная архитектура.
Пасека 63;2.9;5;1;1;Это здание является примером функционального дизайна.
Ламарий 93;4.8;4;3;4;Это здание является примером функционального дизайна.
Банк 74;1.6;1;5;2;Это здание прекрасно вписывается в окружающий ландшафт.
Кинотеатр 84;1.9;4;1;2;Мне нравится дизайн этого здания.
Библиотека 51;0.5;4;1;5;Это здание не имеет особых архитектурных особенностей.
Магазин 19;1.8;4;5;3;Мне нравится дизайн этого здания.
Библиотека 51;1.5;1;5;2;Это здание не имеет особых архитектурных особенностей.
Мостки 31;4.7;1;4;2;Это здание не имеет особых архитектурных особенностей.
Церковь 97;0.7;3;1;3;Это здание имеет стандартную конструкцию.
Университет 99;3.0;2;1;1;У этого здания отличная архитектура.
Берлога 36;1.4;3;4;3;Это здание не имеет особых архитектурных особенностей.
Путепровод 8;1.2;2;4;5;Это здание является примером функционального дизайна.
Университет 99;0.7;5;2;2;Это здание не имеет особых архитектурных особенностей.
Кошара 15;3.6;4;2;3;Это здание прекрасно вписывается в окружающий ландшафт.
Театр 68;1.0;4;1;1;Это здание является примером функционального дизайна.
Магазин 19;1.4;3;4;4;Это здание не имеет особых архитектурных особенностей.
Мост 30;2.6;1;2;3;Это здание имеет стандартную конструкцию.
Университет 99;1.6;2;4;5;Это здание имеет стандартную конструкцию.
Берлога 36;4.0;3;3;1;Это здание имеет стандартную конструкцию.
Кинотеатр 84;4.2;4;3;3;Это здание представляет собой типичный образец современной архитектуры.
Кинотеатр 84;1.9;4;3;1;Это здание имеет стандартную конструкцию.
Кошара 15;2.8;3;5;1;Это здание является примером функционального дизайна.
Берлога 36;2.5;5;2;2;Это здание построено из стандартных строительных материалов.
Мост 30;1.2;3;5;2;Это великолепное здание!
Порт 71;0.4;1;2;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Кошара 15;4.3;5;2;3;Это здание очень функционально.
Логово 16;0.4;2;1;1;У этого здания отличная архитектура.
Шмелиное гнездо 23;4.6;4;2;5;Это здание очень функционально.
Университет 99;3.0;3;1;3;Это здание построено из стандартных строительных материалов.
Кинотеатр 24;3.6;3;1;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Порт 71;0.4;5;1;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Кинотеатр 84;1.9;1;4;3;Это здание является примером функционального дизайна.
ТЭЦ 5;3.0;5;1;2;Это великолепное здание!
Кошара 15;3.8;2;3;2;Это великолепное здание!
Котельная 92;3.6;4;2;4;Это здание имеет стандартную конструкцию.
Логово 16;1.1;5;5;5;Это здание является примером функционального дизайна.
Плантация 92;5.0;5;4;4;Это здание имеет стандартную конструкцию.
Аэропорт 68;3.4;1;2;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Бункер 97;2.2;2;5;4;Это здание представляет собой типичный образец современной архитектуры.
Университет 99;2.7;3;1;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Муравейник 68;1.4;2;2;5;У этого здания отличная архитектура.
Мануфактура 92;4.3;4;3;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Пасека 63;3.3;4;1;1;Это здание очень функционально.
Осатаник 61;2.3;4;5;1;Это здание очень функционально.
Банк 74;1.6;1;5;1;Это здание представляет собой типичный образец современной архитектуры.
Лосятник 92;3.3;1;2;1;Это здание прекрасно вписывается в окружающий ландшафт.
Почта 7;1.0;4;2;2;Это здание имеет стандартную конструкцию.
Музей 91;1.3;4;1;4;Это здание построено из стандартных строительных материалов.
Магазин 19;1.3;5;5;1;Мне нравится дизайн этого здания.
Пасека 63;4.3;2;5;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Банк 74;2.4;1;2;2;Это здание построено из стандартных строительных материалов.
Ламарий 93;3.3;4;3;3;Это здание не имеет особых архитектурных особенностей.
Шмелиное гнездо 23;3.1;5;2;5;Это здание не имеет особых архитектурных особенностей.
Кинотеатр 84;3.3;4;2;1;Это здание является примером функционального дизайна.
Мушиный лабиринт 62;0.9;5;4;2;Это здание представляет собой типичный образец современной архитектуры.
Церковь 65;0.6;4;4;5;Это здание является примером функционального дизайна.
Мушиный лабиринт 62;3.4;3;3;3;Это здание представляет собой типичный образец современной архитектуры.
Верблюжатник 5;4.4;5;2;5;Это здание имеет стандартную конструкцию.
Порт 71;0.3;1;5;4;Это здание очень функционально.
Мостки 31;0.2;2;3;5;Это здание прекрасно вписывается в окружающий ландшафт.
Ламарий 93;2.2;3;5;3;Мне нравится дизайн этого здания.
Цирк 34;3.5;3;1;3;Это великолепное здание!
Кубло 25;2.3;5;2;4;Это здание имеет стандартную конструкцию.
Кинотеатр 84;0.7;3;3;3;У этого здания отличная архитектура.
Мост 30;3.5;5;5;2;Мне нравится дизайн этого здания.
Петля 6;4.3;2;4;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Бункер 97;0.5;4;3;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Библиотека 51;2.4;2;2;2;Это здание является примером функционального дизайна.
Почта 7;0.7;4;4;4;Это здание не имеет особых архитектурных особенностей.
Берлога 36;4.7;5;2;5;Это здание не имеет особых архитектурных особенностей.
Церковь 65;2.7;2;2;3;Это здание представляет собой типичный образец современной архитектуры.
Церковь 97;2.2;5;5;3;Это великолепное здание!
Гараж 31;2.6;1;2;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Академия 57;2.0;1;3;4;У этого здания отличная архитектура.
Электростанция 72;4.2;2;3;2;Это здание не имеет особых архитектурных особенностей.
Верблюжатник 5;2.2;3;2;3;Это здание является примером функционального дизайна.
Путепровод 8;0.9;3;3;1;Это здание является примером функционального дизайна.
Путепровод 8;1.9;2;1;4;Это здание построено из стандартных строительных материалов.
Верблюжатник 5;1.6;5;3;5;Это здание построено из стандартных строительных материалов.
Муравейник 77;1.1;1;5;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Виадук 2;4.2;1;2;1;Это здание имеет стандартную конструкцию.
Церковь 65;4.3;3;5;5;Это здание является примером функционального дизайна.
Логово 16;4.6;3;2;2;Это здание имеет стандартную конструкцию.
ТЭЦ 5;3.7;5;1;2;Это здание представляет собой типичный образец современной архитектуры.
Ламарий 93;4.5;5;3;2;Это здание является примером функционального дизайна.
Шмелиное гнездо 23;4.5;5;5;5;Это здание имеет стандартную конструкцию.
Свиноферма 32;4.9;1;2;2;Это здание представляет собой типичный образец современной архитектуры.
Церковь 97;4.6;5;2;2;У этого здания отличная архитектура.
Мушиный лабиринт 62;0.9;2;2;5;Это здание является примером функционального дизайна.
Плантация 92;3.4;4;1;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Кошара 99;3.4;5;1;5;Это здание является примером функционального дизайна.
Бункер 97;0.9;3;1;5;Это здание очень функционально.
Бункер 97;1.2;5;4;4;Это здание представляет собой типичный образец современной архитектуры.
Виадук 2;4.2;1;2;5;Это великолепное здание!
Лежбище 58;3.0;4;2;4;Это здание построено из стандартных строительных материалов.
Фабрика 100;0.4;5;3;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Театр 68;1.6;1;1;5;Это великолепное здание!
ТЭЦ 5;3.0;2;1;3;У этого здания отличная архитектура.
Пасека 52;1.0;5;4;5;Это здание очень функционально.
Почта 40;3.7;2;1;2;Мне нравится дизайн этого здания.
Утятник 20;2.1;2;4;4;Это здание построено из стандартных строительных материалов.
Утятник 20;0.7;5;1;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Мушиный лабиринт 62;0.8;2;1;2;Это здание построено из стандартных строительных материалов.
Мостки 31;2.2;1;1;3;Мне нравится дизайн этого здания.
Котельная 92;4.9;2;1;2;Это великолепное здание!
Пасека 63;4.4;5;3;3;Это великолепное здание!
Ферма 26;0.7;3;3;3;Это великолепное здание!
Почта 7;1.5;3;5;4;Это здание представляет собой типичный образец современной архитектуры.
Мануфактура 92;1.4;3;5;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Плантация 92;4.6;5;5;2;Это великолепное здание!
Аэропорт 68;1.7;5;3;4;У этого здания отличная архитектура.
Фабрика 100;2.7;3;4;1;Это здание очень функционально.
Мануфактура 92;0.1;2;1;5;Это здание построено из стандартных строительных материалов.
Лежбище 58;2.8;3;1;4;Это здание очень функционально.
Почта 40;1.3;2;2;5;Это здание не имеет особых архитектурных особенностей.
Кинотеатр 84;2.4;3;2;5;Мне нравится дизайн этого здания.
Кошара 15;3.1;3;3;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Академия 57;2.2;4;3;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Шмелиное гнездо 23;1.5;2;4;1;Это здание имеет стандартную конструкцию.
Путепровод 8;0.8;1;4;2;Это здание не имеет особых архитектурных особенностей.
Церковь 65;0.9;3;3;5;Это здание построено из стандартных строительных материалов.
Муравейник 68;1.2;1;3;3;Это здание имеет стандартную конструкцию.
Ламарий 93;4.7;4;5;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Мануфактура 92;0.4;3;5;2;Это здание построено из стандартных строительных материалов.
Магазин 19;2.1;4;3;1;Это здание не имеет особых архитектурных особенностей.
Пасека 52;2.7;1;2;4;Это великолепное здание!
Аэропорт 68;2.8;2;4;1;Это здание является примером функционального дизайна.
Банк 74;2.9;3;5;2;Это здание представляет собой типичный образец современной архитектуры.
Муравейник 68;3.5;1;3;4;Это здание построено из стандартных строительных материалов.
Банк 74;3.2;3;4;4;Это здание не имеет особых архитектурных особенностей.
Музей 91;0.6;1;1;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Университет 99;2.9;5;5;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Электростанция 72;4.2;2;4;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Свиноферма 32;3.5;2;1;2;Это здание построено из стандартных строительных материалов.
Шмелиное гнездо 23;0.4;5;5;3;Это здание имеет стандартную конструкцию.
Мост 30;0.4;4;1;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Ферма 26;1.0;5;2;4;Это здание построено из стандартных строительных материалов.
Кубло 25;1.1;3;2;5;Мне нравится дизайн этого здания.
Утятник 20;4.5;4;1;4;Это здание имеет стандартную конструкцию.
Дворец 20;1.1;4;5;5;Это великолепное здание!
Магазин 19;3.7;1;4;2;Это здание является примером функционального дизайна.
Осатаник 61;3.3;3;5;2;Это здание очень функционально.
Шмелиное гнездо 23;1.0;3;1;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Виадук 2;0.1;2;4;2;Это здание прекрасно вписывается в окружающий ландшафт.
Электростанция 72;3.3;5;4;3;Это здание построено из стандартных строительных материалов.
Котельная 92;2.3;3;4;4;Это здание не имеет особых архитектурных особенностей.
Мануфактура 92;0.7;1;2;1;Это здание является примером функционального дизайна.
Кинотеатр 84;3.8;5;4;2;Это здание представляет собой типичный образец современной архитектуры.
Верблюжатник 5;4.0;4;4;3;Это здание является примером функционального дизайна.
Цирк 69;2.2;5;3;2;Это здание очень функционально.
Муравейник 68;3.7;5;3;2;Это здание представляет собой типичный образец современной архитектуры.
Церковь 65;2.5;3;4;4;У этого здания отличная архитектура.
Верблюжатник 5;4.8;1;5;5;Это здание не имеет особых архитектурных особенностей.
Церковь 97;1.3;4;1;4;Это здание является примером функционального дизайна.
Пасека 52;4.3;5;2;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Почта 40;2.7;1;4;1;Это здание построено из стандартных строительных материалов.
Шмелиное гнездо 23;4.7;2;5;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Кубло 25;0.6;3;5;5;У этого здания отличная архитектура.
Мост 30;4.0;5;1;1;Мне нравится дизайн этого здания.
Кубло 25;5.0;5;3;3;Это здание имеет стандартную конструкцию.
Лосятник 92;1.8;1;3;4;Это здание построено из стандартных строительных материалов.
Муравейник 68;2.8;5;5;4;Это здание является примером функционального дизайна.
Музей 91;2.3;2;1;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Логово 16;4.1;4;4;4;Это здание имеет стандартную конструкцию.
Гнездо 78;3.6;4;5;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Библиотека 51;3.0;1;5;2;Это здание прекрасно вписывается в окружающий ландшафт.
Гусятник 51;2.0;5;3;4;Это здание построено из стандартных строительных материалов.
Дворец 20;0.3;5;3;5;Это здание прекрасно вписывается в окружающий ландшафт.
Муравейник 77;3.2;4;5;4;Это здание представляет собой типичный образец современной архитектуры.
Петля 6;4.6;1;2;5;Это здание не имеет особых архитектурных особенностей.
Берлога 36;2.0;3;4;3;Это здание построено из стандартных строительных материалов.
Муравейник 77;3.3;4;2;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Почта 40;1.1;2;1;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Почта 40;0.9;5;1;3;Это великолепное здание!
Банк 74;1.0;2;2;3;Это здание является примером функционального дизайна.
Кинотеатр 84;3.0;1;5;1;Это здание представляет собой типичный образец современной архитектуры.
Котельная 92;0.5;1;2;4;Это здание является примером функционального дизайна.
Электростанция 72;3.3;1;4;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Кубло 25;2.5;3;2;3;Это здание построено из стандартных строительных материалов.
ТЭЦ 5;1.4;2;5;1;Это здание является примером функционального дизайна.
Мост 30;1.5;3;4;4;У этого здания отличная архитектура.
Осатаник 61;4.3;5;4;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Фабрика 100;0.5;3;3;2;Это здание представляет собой типичный образец современной архитектуры.
Петля 6;0.7;3;3;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Цирк 69;3.6;5;3;3;У этого здания отличная архитектура.
Ламарий 93;1.5;4;1;3;Это здание является примером функционального дизайна.
Банк 74;2.4;2;5;4;Это здание не имеет особых архитектурных особенностей.
Банк 74;3.9;1;4;4;Это здание имеет стандартную конструкцию.
Мануфактура 92;0.8;4;2;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Цирк 34;4.8;3;4;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Университет 99;2.6;2;2;1;Это здание имеет стандартную конструкцию.
Фабрика 28;0.2;3;1;1;Мне нравится дизайн этого здания.
Церковь 97;2.6;1;5;3;Это здание прекрасно вписывается в окружающий ландшафт.
Библиотека 51;0.9;3;5;4;Это здание имеет стандартную конструкцию.
Путепровод 8;4.0;2;3;3;Это здание является примером функционального дизайна.
Пасека 52;3.4;4;2;4;Это великолепное здание!
Церковь 65;1.8;4;4;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Лосятник 92;4.4;4;3;2;Это здание имеет стандартную конструкцию.
Котельная 69;1.5;1;5;5;Мне нравится дизайн этого здания.
Ламарий 93;2.0;1;5;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Логово 16;3.6;1;5;2;Мне нравится дизайн этого здания.
Музей 55;1.3;5;5;2;У этого здания отличная архитектура.
Шмелиное гнездо 23;3.2;3;2;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Петля 6;3.8;4;1;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Муравейник 68;1.5;2;1;5;Это здание представляет собой типичный образец современной архитектуры.
Бункер 97;2.5;1;4;4;Это здание является примером функционального дизайна.
Муравейник 77;4.7;1;4;1;Это здание построено из стандартных строительных материалов.
Котельная 92;0.9;1;2;5;Это здание представляет собой типичный образец современной архитектуры.
